NHL_GP_Greater_Than_0,Nationality,PIMs_Per_Game_in_Draft_Year,Goals_Per_Game_in_Draft_Year,Assists_Per_Game_in_Draft_Year,Player_Size_in_Draft_Year,Playoffs_in_Draft_Year,Position_in_Draft_Year
no,USA,0,0,0.111111111,278,No,C
no,USA,0,0.023255814,0.209302326,310,No,D
no,CAN,0,0.230769231,0.230769231,259,No,C
no,USA,0,0.25,0.25,278,No,C
yes,CAN,0,0.318181818,0.25,263,Yes,W
yes,USA,0,0.5,0.25,260,No,W
no,CAN,0,0.605263158,0.263157895,272,No,W
no,EURO,0,0.113636364,0.272727273,289,No,D
no,CAN,0,0.294117647,0.294117647,279,No,C
no,EURO,0,0.285714286,0.448979592,276,No,W
no,CAN,0,0.392156863,0.450980392,288,No,C
no,CAN,0,0.333333333,0.5,264,No,W
no,USA,0,0.548387097,0.516129032,259,No,W
no,CAN,0,0.125,0.541666667,277,No,D
no,USA,0,0.388888889,0.555555556,256,No,W
no,EURO,0,0.72,0.56,269,No,W
yes,EURO,0,0.382352941,0.588235294,291,No,C
no,EURO,0,0.925925926,0.703703704,275,No,W
yes,USA,0,0.457627119,0.779661017,257,No,D
no,USA,0,0.957446809,0.808510638,266,No,W
no,USA,0,0.391304348,0.913043478,266,No,C
no,CAN,0,0.918918919,1,264,No,C
no,EURO,0,1.3,1.2,270,No,W
no,CAN,0.034482759,0.344827586,0.310344828,283,No,C
no,EURO,0.040816327,0.428571429,0.448979592,289,No,W
no,CAN,0.041666667,0.520833333,0.354166667,289,Yes,W
no,USA,0.045454545,0.068181818,0.159090909,271,No,D
no,CAN,0.054054054,0.405405405,0.351351351,269,Yes,W
no,USA,0.060606061,1,1.363636364,239,Yes,W
yes,CAN,0.068965517,0.068965517,0.068965517,290,No,C
no,USA,0.070175439,0.315789474,0.368421053,262,Yes,D
no,EURO,0.078431373,0.058823529,0.196078431,289,No,D
no,USA,0.078431373,0.764705882,0.62745098,283,No,W
yes,EURO,0.08,0.28,0.24,279,Yes,W
no,CAN,0.086956522,0.304347826,0.630434783,260,Yes,C
no,EURO,0.090909091,0.431818182,0.227272727,268,No,W
yes,CAN,0.1,0.5,0.625,239,No,C
no,USA,0.108108108,0.108108108,0.162162162,254,Yes,C
no,USA,0.108108108,0.108108108,0.162162162,278,No,C
no,CAN,0.108108108,0.324324324,0.783783784,275,Yes,D
yes,CAN,0.114285714,0.114285714,0.142857143,255,No,W
no,USA,0.115384615,0.730769231,0.769230769,263,No,C
no,USA,0.117647059,0.529411765,0.926470588,284,Yes,W
no,EURO,0.121212121,0.424242424,0.878787879,289,No,D
no,EURO,0.133333333,0.116666667,0.416666667,278,No,D
